weaver	capability	kind	api_key	backends	consumes	produces	unmet_inputs
alphafold	describe_model	lookup	none	api	protein.uniprot.accession	structure.alphafold.entry_id;structure.alphafold.mean_plddt;structure.alphafold.model_url;structure.alphafold.pae_image_url;structure.alphafold.version;structure.alphafold.records	
bacdive	describe_traits	lookup	none	api	organism.scientific_name	microbe.trait.gram_stain;microbe.trait.cell_shape;microbe.trait.motility;microbe.trait.spore_formation;microbe.trait.oxygen_tolerance;microbe.trait.optimum_temp;microbe.trait.optimum_ph	
disbiome	disbiome.list_diseases	lookup	none	local	ncbi.taxon.id	microbe.disease.names;microbe.disease.count;microbe.disease.associations;microbe.disease.records	
example	describe_traits	lookup	none	local	ncbi.taxon.id	microbe.trait.gram_stain;microbe.trait.optimum_temp	
ncbi	ncbi.resolve_name	resolver	optional	local;api	organism.name	ncbi.taxon.id;organism.scientific_name;ncbi.taxon.rank;ncbi.taxon.parent_id;ncbi.taxon.match_type;ncbi.taxon.review_required;ncbi.taxon.lineage	
ncbi	ncbi.describe_taxon	resolver	optional	local;api	ncbi.taxon.id	organism.scientific_name;ncbi.taxon.rank;ncbi.taxon.parent_id;ncbi.taxon.lineage	
ncbi	ncbi.list_children	resolver	optional	local;api	ncbi.taxon.id	ncbi.taxon.id;ncbi.taxon.children_count;ncbi.taxon.children_records	
ncbi	ncbi.list_genomes	resolver	optional	local;api	ncbi.taxon.id	genome.accession;genome.assembly.count;genome.assembly.records	
ncbi	ncbi.describe_genome	resolver	optional	local;api	genome.accession	genome.assembly.title;genome.assembly.level;genome.assembly.organism;genome.assembly.detail;genome.sequence.records	
ncbi	ncbi.resolve_gene	resolver	optional	local;api	protein.query	gene.ncbi.id;gene.symbol;gene.name;gene.organism	
ncbi	ncbi.describe_gene	resolver	optional	local;api	gene.ncbi.id	gene.symbol;gene.name;gene.type;gene.organism;gene.detail;gene.product.records	
ncbi	ncbi.list_orthologs	resolver	optional	local;api	gene.ncbi.id	gene.ncbi.id;gene.ortholog.count;gene.ortholog.records	
pdbe	list_structures	lookup	none	api	protein.uniprot.accession	pdb.id;structure.pdb.ids;structure.pdb.count;structure.pdb.records	
pdbe	describe_structure	lookup	none	api	pdb.id	structure.pdb.title;structure.pdb.method;structure.pdb.release_date;structure.pdb.detail	
quickgo	list_go_terms	lookup	none	api	protein.uniprot.accession	go.molecular_function;go.biological_process;go.cellular_component;go.term;go.count;go.records	
quickgo	describe_go_term	lookup	none	api	go.term	go.term.name;go.term.aspect;go.term.definition;go.term.detail	
reactome	list_pathways	lookup	none	api	protein.uniprot.accession	pathway.reactome.id;pathway.reactome.names;pathway.reactome.count;pathway.reactome.records	
reactome	describe_pathway	lookup	none	api	pathway.reactome.id	pathway.reactome.display_name;pathway.reactome.species;pathway.reactome.in_disease;pathway.reactome.detail	
string	list_interactions	lookup	none	api	protein.uniprot.accession	protein.query;protein.interaction.partners;protein.interaction.count;protein.interaction.records	
uniprot	resolve_protein	lookup	none	api	protein.query	protein.uniprot.accession;protein.name;protein.gene;protein.organism;protein.reviewed;ncbi.taxon.id;protein.function;protein.length	
uniprot	map_to_accession	lookup	none	api	gene.ncbi.id;gene.ensembl.id;protein.ensembl.id;gene.symbol;refseq.protein.id;gene.hgnc.id;nucleotide.insdc.accession;pdb.id	protein.uniprot.accession;protein.uniprot.mapping.count;protein.uniprot.mapping.records	
uniprot	map_from_accession	lookup	none	api	protein.uniprot.accession	gene.ncbi.id;gene.ensembl.id;protein.ensembl.id;pathway.kegg.id;pathway.reactome.id;refseq.protein.id;orthodb.group;eggnog.group;chembl.id;drugbank.id;pdb.id;string.id;protein.uniprot.mapping.count;protein.uniprot.mapping.records	
