ncbi_taxid	microbe_id	gcf
592010	Abiotrophia_defectiva_ATCC_49176	GCF_000160075.2
1120917	Acaricomes_phytoseiuli_DSM_14247	GCF_000376245.1
329726	Acaryochloris_marina_MBIC11017	GCF_000018105.1
258515	Acetanaerobacterium_elongatum_CGMCC_1_5012	GCF_900103835.1
879566	Acetatifactor_muris_GP69	GCF_900248245.1
509191	Acetivibrio_cellulolyticus_CD2	GCF_000179595.2
290052	Acetivibrio_ethanolgignens_ACET_33324	GCF_001461035.1
52694	Acetobacterium_wieringae_DSM_1911	GCF_001766835.1
1009370	Acetonema_longum_DSM_6540	GCF_000219125.1
1003200	Achromobacter_insuavis_AXX_A	GCF_000219745.1
762376	Achromobacter_xylosoxidans_A8	GCF_000165835.1
85698	Achromobacter_xylosoxidans_ERR2221244	
85698	Achromobacter_xylosoxidans_ERR2221245	
85698	Achromobacter_xylosoxidans_ERR2221246	
85698	Achromobacter_xylosoxidans_ERR2221247	
1216976	Achromobacter_xylosoxidans_NBRC_15126	GCF_001598595.1
85698	Achromobacter_xylosoxidans_NCTC10807	GCF_001457475.1
1120920	Acidaminobacter_hydrogenoformans_DSM_2784	GCF_900103005.1
591001	Acidaminococcus_fermentans_DSM_20731	GCF_000025305.1
568816	Acidaminococcus_intestini_RyC_MR95	GCF_000230275.1
1852375	Acidaminococcus_massiliensis_Marseille_P2828	GCF_900095825.1
1111120	Acidaminococcus_sp_BV3L6	GCF_000468835.1
904	Acidaminococcus_sp_D21	GCF_000174215.1
1203555	Acidaminococcus_sp_HPA0509	GCF_000411395.1
1382359	Acidobacterium_ailaaui_PMMR2	GCF_000688455.1
240015	Acidobacterium_capsulatum_ATCC_51196	GCF_000022565.1
343013	Acidovorax_caeni_R_24608	GCF_001298675.1
696749	Acinetobacter_baumannii_1656_2	GCF_000188215.1
886888	Acinetobacter_baumannii_3990	GCF_000189675.1
1293574	Acinetobacter_baumannii_48055	GCF_000359725.1
1216295	Acinetobacter_baumannii_53264	GCF_000332855.1
592014	Acinetobacter_baumannii_6013113	GCF_000163375.2
525243	Acinetobacter_baumannii_6013150	GCF_000163355.2
525242	Acinetobacter_baumannii_6014059	GCF_000163395.2
903937	Acinetobacter_baumannii_AA_014	GCF_000335595.1
1221244	Acinetobacter_baumannii_AB_1536_8	GCF_000301835.1
1221245	Acinetobacter_baumannii_AB_1582_8	GCF_000301175.1
1221247	Acinetobacter_baumannii_AB_1594_8	GCF_000301195.1
1221248	Acinetobacter_baumannii_AB_1595_8	GCF_000301215.1
1221249	Acinetobacter_baumannii_AB_1649_8	GCF_000301235.1
1221250	Acinetobacter_baumannii_AB_1650_8	GCF_000301255.1
1221251	Acinetobacter_baumannii_AB_1766_8	GCF_000301275.1
1221252	Acinetobacter_baumannii_AB_2007_09_110_01_7	GCF_000301875.1
1221253	Acinetobacter_baumannii_AB_2007_16_25_01_7	GCF_000301295.1
1221254	Acinetobacter_baumannii_AB_2007_16_27_01	GCF_000301895.1
1221255	Acinetobacter_baumannii_AB_2008_15_34_7	GCF_000301915.1
1221256	Acinetobacter_baumannii_AB_2008_15_45	GCF_000301315.1
